id_baris,aksara,transliterasi,terjemahan,teks_pegon
1,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris001.png,Tan kocapa,Tiada diceritakan lagi,تان كوچاڤا
2,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris002.png,wong wadon iku dening wang,tentang wanita itu,ووڠ وادون ايكو دۤنيڠ واڠ
3,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris003.png,ana kocapa malih,ada kisah lagi,ان كوچاڤا مله
4,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris004.png,putêri nateng Temas,Putri dari Temas,ڤوتêري نتيڠ تۤمس
5,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris005.png,namanira Jaleka,yang bernama Zulaikha,نمنيرا جالييكا
6,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris006.png,wayah sangang taun malih,saat berusia sembilan tahun,واياه ساڠاڠ تاون مله
7,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris007.png,kusumaningrat,sang putri bunganya jagat,كوسومنيڠرات
8,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris008.png,ayu kasubeng bumi,cantik di seluruh dunia,ايو كاسوبيڠ بومي
9,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris009.png,Sugih êmas,Berlimpah emas,سوڮيه êمس
10,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris010.png,ratna widuri murwendah,intan berlian yang indah,راتن ويدوري موروينداه
11,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris011.png,yaya ibu nira sih,dikasihi ayah bundanya,يايا ايبو نيرا سيه
